run_id,cell_id,backend,cache_state,workers,n_patches,batch_size,warmup_batches,timed_batches,time_to_first_batch_ms,throughput_samples_per_sec,timed_wall_seconds,samples_timed,peak_cpu_rss_gb_global,peak_vram_allocated_gb,peak_vram_reserved_gb,gpu_starvation_wait_ms_total,gpu_starvation_wait_ms_mean,replacement_wait_ms_total
20260228_184355,custom_fused__warm_pool__w0__n16__b1,custom_fused,warm_pool,0,16,1,3,10,7358.0178988631815,2.3339594673695023,4.284564552130178,10,1.7156105041503906,0.0,0.0,19312.286380212754,1379.449027158054,0.0
20260228_184355,custom_fused__warm_pool__w0__n16__b4,custom_fused,warm_pool,0,16,4,3,10,12364.56497805193,1.1757887999073888,34.01971510797739,40,1.7642974853515625,0.0,0.0,50370.38167519495,3597.8844053710677,0.0
20260228_184355,custom_fused__warm_pool__w0__n64__b1,custom_fused,warm_pool,0,64,1,3,10,5411.934488918632,2.3867126152913323,4.189863469917327,10,1.7504768371582031,0.0,0.0,16338.278263807297,1167.0198759862355,0.0
20260228_184355,custom_fused__warm_pool__w0__n64__b4,custom_fused,warm_pool,0,64,4,3,10,12324.913571123034,1.167500772311719,34.26121930591762,40,1.7498588562011719,0.0,0.0,50633.3149978891,3616.6653569920786,0.0
20260228_184355,custom_fused__warm_pool__w4__n16__b1,custom_fused,warm_pool,4,16,1,3,10,899.1568561177701,10.950481205287213,0.9132018778473139,10,1.6275138854980469,0.0,0.0,9354.185161180794,668.1560829414854,0.0
20260228_184355,custom_fused__warm_pool__w4__n16__b4,custom_fused,warm_pool,4,16,4,3,10,2322.838468942791,5.317390292862655,7.522487121867016,40,1.2036628723144531,0.0,0.0,17186.78416311741,1227.627440222672,0.0
20260228_184355,custom_fused__warm_pool__w4__n64__b1,custom_fused,warm_pool,4,64,1,3,10,908.8533031754196,10.892605114260942,0.9180540279485285,10,1.1296577453613281,0.0,0.0,9228.52780064568,659.1805571889771,0.0
20260228_184355,custom_fused__warm_pool__w4__n64__b4,custom_fused,warm_pool,4,64,4,3,10,1449.7925678733736,5.2935722527143625,7.5563340010121465,40,1.2043533325195312,0.0,0.0,17211.4372192882,1229.3883728063,0.0
20260228_184355,monai__warm_pool__w0__n16__b1,monai,warm_pool,0,16,1,3,10,10908.006282057613,2.7345734040879397,3.6568775170017034,10,2.456401824951172,0.0,0.0,14650.707475375384,1046.479105383956,0.0
20260228_184355,monai__warm_pool__w0__n16__b4,monai,warm_pool,0,16,4,3,10,9342.522620921955,2.496242795137709,16.024082303978503,40,4.30322265625,0.0,0.0,29683.027557330206,2120.216254095015,0.0
20260228_184355,monai__warm_pool__w0__n64__b1,monai,warm_pool,0,64,1,3,10,10666.77658399567,1.3327184537915635,7.503460293170065,10,4.626991271972656,0.0,0.0,18543.723518494517,1324.5516798924655,0.0
20260228_184355,monai__warm_pool__w0__n64__b4,monai,warm_pool,0,64,4,3,10,10218.107092892751,1.1889200872458938,33.64397694100626,40,4.6753387451171875,0.0,0.0,52857.31470049359,3775.522478606685,0.0
20260228_184355,monai__warm_pool__w4__n16__b1,monai,warm_pool,4,16,1,3,10,1686.5574920084327,2.0689902870418417,4.833275469020009,10,5.818408966064453,0.0,0.0,12197.591637726873,871.2565455519195,0.0
20260228_184355,monai__warm_pool__w4__n16__b4,monai,warm_pool,4,16,4,3,10,2913.4071208536625,1.0413956698851157,38.40999262500554,40,6.2910919189453125,0.0,0.0,50201.848660130054,3585.8463328664325,0.0
20260228_184355,monai__warm_pool__w4__n64__b1,monai,warm_pool,4,64,1,3,10,5499.548434978351,0.43191236733820837,23.152844781056046,10,5.808204650878906,0.0,0.0,33998.48781712353,2428.463415508824,0.0
20260228_184355,monai__warm_pool__w4__n64__b4,monai,warm_pool,4,64,4,3,10,9011.5059860982,0.3056854588534825,130.85346012213267,40,6.003032684326172,0.0,0.0,168271.09516086057,12019.363940061468,0.0
