run_id,cell_id,backend,cache_state,workers,n_patches,batch_size,warmup_batches,timed_batches,time_to_first_batch_ms,throughput_samples_per_sec,timed_wall_seconds,samples_timed,peak_cpu_rss_gb_global,peak_vram_allocated_gb,peak_vram_reserved_gb,gpu_starvation_wait_ms_total,gpu_starvation_wait_ms_mean,replacement_wait_ms_total
20260228_175926,custom_fused__warm_pool__w0__n16__b1,custom_fused,warm_pool,0,16,1,3,10,7725.155465072021,2.364226215140501,4.229713694890961,10,1.7139053344726562,0.0,0.0,20101.552666863427,1435.8251904902447,0.0
20260228_175926,custom_fused__warm_pool__w0__n16__b4,custom_fused,warm_pool,0,16,4,3,10,12393.562438897789,1.1737484975234431,34.07885086489841,40,1.7622184753417969,0.0,0.0,50451.77511568181,3603.698222548701,0.0
20260228_175926,custom_fused__warm_pool__w0__n64__b1,custom_fused,warm_pool,0,64,1,3,10,5452.496408950537,2.3828400736238167,4.196672748075798,10,1.7484016418457031,0.0,0.0,16388.558633159846,1170.611330939989,0.0
20260228_175926,custom_fused__warm_pool__w0__n64__b4,custom_fused,warm_pool,0,64,4,3,10,12421.612813835964,1.1648543996829308,34.33905560290441,40,1.7477798461914062,0.0,0.0,50811.91783514805,3629.422702510575,0.0
20260228_175926,custom_fused__warm_pool__w4__n16__b1,custom_fused,warm_pool,4,16,1,3,10,3312.604028964415,11.86731504558939,0.8426505879033357,10,1.2585983276367188,0.0,0.0,10011.790202232078,715.1278715880055,0.0
20260228_175926,custom_fused__warm_pool__w4__n16__b4,custom_fused,warm_pool,4,16,4,3,10,5165.421002078801,3.7400022802584387,10.6951806449797,40,1.2420463562011719,0.0,0.0,25164.864933118224,1797.4903523655873,0.0
20260228_175926,custom_fused__warm_pool__w4__n64__b1,custom_fused,warm_pool,4,64,1,3,10,3281.516272109002,11.516192849681914,0.86834252695553,10,1.1904716491699219,0.0,0.0,9778.820524923503,698.4871803516788,0.0
20260228_175926,custom_fused__warm_pool__w4__n64__b4,custom_fused,warm_pool,4,64,4,3,10,6352.103773970157,4.94627851417538,8.08688792702742,40,1.9787673950195312,0.0,0.0,18204.38701333478,1300.3133580953415,0.0
20260228_175926,monai__warm_pool__w0__n16__b1,monai,warm_pool,0,16,1,3,10,10914.944818010554,2.7265291869159247,3.6676665879786015,10,2.4553375244140625,0.0,0.0,14653.553821379319,1046.6824158128086,0.0
20260228_175926,monai__warm_pool__w0__n16__b4,monai,warm_pool,0,16,4,3,10,9220.766724087298,2.474667962572395,16.16378463897854,40,4.2994232177734375,0.0,0.0,29737.67772084102,2124.11983720293,0.0
20260228_175926,monai__warm_pool__w0__n64__b1,monai,warm_pool,0,64,1,3,10,9634.669901104644,1.4369657801429105,6.9591079608071595,10,4.615428924560547,0.0,0.0,16878.230423200876,1205.5878873714912,0.0
20260228_175926,monai__warm_pool__w0__n64__b4,monai,warm_pool,0,64,4,3,10,10172.214586986229,1.0241357034794865,39.057324009016156,40,4.616352081298828,0.0,0.0,58910.87237326428,4207.919455233163,0.0
20260228_175926,monai__warm_pool__w4__n16__b1,monai,warm_pool,4,16,1,3,10,6713.933964958414,0.2621455456075129,38.14674774208106,10,4.935382843017578,0.0,0.0,65746.74759362824,4696.196256687732,0.0
20260228_175926,monai__warm_pool__w4__n16__b4,monai,warm_pool,4,16,4,3,10,9952.656717970967,0.9558189848647399,41.84892812697217,40,6.786846160888672,0.0,0.0,104150.3105557058,7439.307896836129,0.0
20260228_175926,monai__warm_pool__w4__n64__b1,monai,warm_pool,4,64,1,3,10,14637.180232908577,0.07896821630541181,126.63322622515261,10,6.724018096923828,0.0,0.0,202448.723644251,14460.623117446501,0.0
20260228_175926,monai__warm_pool__w4__n64__b4,monai,warm_pool,4,64,4,3,10,24851.26925003715,0.2759875570624567,144.93407031008974,40,5.387615203857422,0.0,0.0,357075.2515187487,25505.37510848205,0.0
20260228_175926,medrs__warm_pool__w0__n16__b1,medrs,warm_pool,0,16,1,3,10,324.0734478458762,0.7409225462895845,13.496687406906858,10,3.351367950439453,0.0,0.0,14635.535911191255,1045.3954222279467,0.0
20260228_175926,medrs__warm_pool__w0__n16__b4,medrs,warm_pool,0,16,4,3,10,1263.8367121107876,1.6264690053992228,24.59315232397057,40,3.6110992431640625,0.0,0.0,39293.990599224344,2806.71361423031,0.0
20260228_175926,medrs__warm_pool__w0__n64__b1,medrs,warm_pool,0,64,1,3,10,198.21257703006268,1.8786797101569666,5.322887103073299,10,2.92578125,0.0,0.0,6914.212984731421,493.87235605224436,0.0
20260228_175926,medrs__warm_pool__w0__n64__b4,medrs,warm_pool,0,64,4,3,10,1815.8762650564313,2.914110510036733,13.726315409876406,40,3.1805953979492188,0.0,0.0,21193.62524151802,1513.8303743941444,0.0
