run_id,cell_id,backend,cache_state,workers,n_patches,batch_size,warmup_batches,timed_batches,time_to_first_batch_ms,throughput_samples_per_sec,timed_wall_seconds,samples_timed,peak_cpu_rss_gb_global,peak_vram_allocated_gb,peak_vram_reserved_gb,gpu_starvation_wait_ms_total,gpu_starvation_wait_ms_mean,replacement_wait_ms_total
20260228_195428,monai__warm_pool__w0__n64__b1,monai,warm_pool,0,64,1,3,10,9553.300971863791,1.4131426726445344,7.076426318148151,10,4.626491546630859,0.0,0.0,16912.52425033599,1208.0374464525707,0.0
20260228_195428,monai__warm_pool__w0__n64__b4,monai,warm_pool,0,64,4,3,10,10026.744071161374,1.1912266773229492,33.57883160398342,40,4.678985595703125,0.0,0.0,52194.34896088205,3728.1677829201467,0.0
20260228_195428,monai__warm_pool__w4__n16__b1,monai,warm_pool,4,16,1,3,10,9352.531650103629,2.0840814973774506,4.798276848858222,10,5.65716552734375,0.0,0.0,13798.565718112513,985.6118370080367,0.0
20260228_195428,monai__warm_pool__w4__n16__b4,monai,warm_pool,4,16,4,3,10,8523.763205157593,0.8496553556893859,47.077911922940984,40,7.265308380126953,0.0,0.0,58398.51976605132,4171.322840432237,0.0
20260228_195428,monai__warm_pool__w4__n64__b1,monai,warm_pool,4,64,1,3,10,9609.16812485084,0.4541063999553678,22.021270788041875,10,6.052421569824219,0.0,0.0,31197.15193961747,2228.3679956869623,0.0
20260228_195428,monai__warm_pool__w4__n64__b4,monai,warm_pool,4,64,4,3,10,13186.363023938611,0.26826021639057224,149.1089530091267,40,5.924629211425781,0.0,0.0,181654.83073098585,12975.345052213275,0.0
20260228_195428,medrs__warm_pool__w0__n16__b1,medrs,warm_pool,0,16,1,3,10,185.28965185396373,3.009946508588664,3.322318177903071,10,3.0971145629882812,0.0,0.0,3868.7138052191585,276.33670037279705,0.0
20260228_195428,medrs__warm_pool__w0__n16__b4,medrs,warm_pool,0,16,4,3,10,646.4031499344856,1.4575854476562333,27.442645001923665,40,3.9696731567382812,0.0,0.0,31318.70248890482,2237.0501777789154,0.0
20260228_195428,medrs__warm_pool__w0__n64__b1,medrs,warm_pool,0,64,1,3,10,67.99908191896975,2.428109655996277,4.118430143920705,10,3.190296173095703,0.0,0.0,5230.418406659737,373.6013147614098,0.0
20260228_195428,medrs__warm_pool__w0__n64__b4,medrs,warm_pool,0,64,4,3,10,1348.5472060274333,2.845044927910232,14.059531927807257,40,3.5797653198242188,0.0,0.0,19465.34806652926,1390.3820047520899,0.0
20260228_195428,medrs__warm_pool__w4__n16__b1,medrs,warm_pool,4,16,1,3,10,1076.815783046186,8.182742832044168,1.2220841110683978,10,4.2620391845703125,0.0,0.0,1082.3828398715705,77.31305999082646,0.0
20260228_195428,medrs__warm_pool__w4__n16__b4,medrs,warm_pool,4,16,4,3,10,1312.0204398874193,9.097108298683647,4.397001628065482,40,4.536525726318359,0.0,0.0,4785.39222641848,341.8137304584629,0.0
20260228_195428,medrs__warm_pool__w4__n64__b1,medrs,warm_pool,4,64,1,3,10,838.8169510290027,8.15992398669898,1.2255016120616347,10,4.173259735107422,0.0,0.0,844.3472550716251,60.31051821940179,0.0
20260228_195428,medrs__warm_pool__w4__n64__b4,medrs,warm_pool,4,64,4,3,10,1181.1518829781562,10.24806530619823,3.9031757512129843,40,4.358589172363281,0.0,0.0,4363.377985777333,311.66985612695237,0.0
